,Intercept,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
Mean,7.96,-4.77,-2.6,1.48,8.17,0.08,0.05,0.01,-0.02,0.01,-0.03
Satandard Deviation,0.18,0.29,0.23,0.17,0.2,0.26,0.24,0.21,0.19,0.37,0.4
