,Intercept,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
Mean,7.95,-4.32,-2.32,1.32,8.04,-0.43,-0.24,-0.01,0,-0.02,0.01
Satandard Deviation,0.18,0.37,0.24,0.22,0.23,0.29,0.26,0.17,0.17,0.12,0.16
