,Intercept,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
Mean,7.96,-4.75,-2.59,1.49,8.18,0.06,0.05,0,-0.02,-0.01,-0.01
Satandard Deviation,0.18,0.29,0.23,0.17,0.2,0.27,0.25,0.22,0.2,0.33,0.36
